"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  Data presented from public health laboratories include the weekly total number of specimens tested, the number of positive influenza tests, and the number by influenza virus type, subtype, and influenza B lineage."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,A (2009 H1N1),A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v,A (H5)
HHS Regions,Region 1,2018,35,0,0,0,0,0,0,0,0,0
HHS Regions,Region 9,2018,35,62,1,2,0,0,0,0,0,0
HHS Regions,Region 1,2018,36,8,1,0,0,0,0,0,0,0
HHS Regions,Region 9,2018,36,74,6,3,0,0,0,0,0,0
HHS Regions,Region 1,2018,37,2,0,0,0,0,0,0,0,0
HHS Regions,Region 9,2018,37,83,7,5,0,0,1,5,0,0
HHS Regions,Region 1,2018,38,8,0,0,0,0,0,0,0,0
HHS Regions,Region 9,2018,38,68,3,2,0,1,0,0,0,0
HHS Regions,Region 1,2018,39,18,1,1,0,0,0,0,0,0
HHS Regions,Region 9,2018,39,133,2,4,0,0,0,1,0,0
HHS Regions,Region 1,2018,40,27,1,0,0,0,0,1,0,0
HHS Regions,Region 9,2018,40,108,5,4,6,0,0,2,0,0
HHS Regions,Region 1,2018,41,33,1,4,0,0,0,0,0,0
HHS Regions,Region 9,2018,41,148,9,2,7,4,0,2,0,0
HHS Regions,Region 1,2018,42,37,4,1,0,0,1,0,0,0
HHS Regions,Region 9,2018,42,167,13,11,11,1,1,3,0,0
HHS Regions,Region 1,2018,43,30,4,1,0,0,0,0,0,0
HHS Regions,Region 9,2018,43,124,10,8,0,1,0,2,0,0
HHS Regions,Region 1,2018,44,40,2,0,0,0,0,1,0,0
HHS Regions,Region 9,2018,44,143,21,4,1,0,0,2,0,0
HHS Regions,Region 1,2018,45,34,3,0,0,0,0,0,0,0
HHS Regions,Region 9,2018,45,184,30,3,13,3,2,2,0,0
HHS Regions,Region 1,2018,46,41,4,0,0,0,0,0,0,0
HHS Regions,Region 9,2018,46,244,35,8,9,0,0,1,0,0
HHS Regions,Region 1,2018,47,30,3,1,0,0,0,0,0,0
HHS Regions,Region 9,2018,47,226,98,11,7,1,0,1,0,0
HHS Regions,Region 1,2018,48,46,7,5,0,0,0,0,0,0
HHS Regions,Region 9,2018,48,310,118,13,6,1,0,2,0,0
HHS Regions,Region 1,2018,49,68,16,12,0,0,0,0,0,0
HHS Regions,Region 9,2018,49,320,128,11,11,0,0,4,0,0
HHS Regions,Region 1,2018,50,83,25,10,0,0,0,0,0,0
HHS Regions,Region 9,2018,50,408,207,15,8,1,0,0,0,0
HHS Regions,Region 1,2018,51,98,54,9,1,1,0,2,0,0
HHS Regions,Region 9,2018,51,582,294,31,68,6,0,0,0,0
HHS Regions,Region 1,2018,52,162,118,6,4,0,0,3,0,0
HHS Regions,Region 9,2018,52,568,346,17,90,4,1,0,0,0
HHS Regions,Region 1,2019,1,167,101,11,0,0,1,2,0,0
HHS Regions,Region 9,2019,1,746,395,25,137,2,0,4,0,0
HHS Regions,Region 1,2019,2,227,138,11,2,0,0,2,0,0
HHS Regions,Region 9,2019,2,816,461,40,77,3,2,6,0,0
HHS Regions,Region 1,2019,3,300,196,21,0,0,0,3,0,0
HHS Regions,Region 9,2019,3,648,376,32,94,5,3,2,0,0
HHS Regions,Region 1,2019,4,297,189,28,0,0,1,0,0,0
HHS Regions,Region 9,2019,4,642,328,25,76,9,1,0,0,0
HHS Regions,Region 1,2019,5,321,182,45,4,0,0,5,0,0
HHS Regions,Region 9,2019,5,673,346,47,42,2,3,1,0,0
HHS Regions,Region 1,2019,6,327,224,36,0,0,2,0,0,0
HHS Regions,Region 9,2019,6,658,263,73,48,9,5,3,0,0
HHS Regions,Region 1,2019,7,234,149,35,0,0,0,0,0,0
HHS Regions,Region 9,2019,7,639,257,93,30,15,13,2,0,0
HHS Regions,Region 1,2019,8,204,104,39,3,0,0,2,0,0
HHS Regions,Region 9,2019,8,665,224,142,37,42,10,0,0,0
HHS Regions,Region 1,2019,9,196,72,76,1,1,5,0,0,0
HHS Regions,Region 9,2019,9,813,254,223,37,26,6,2,0,0
HHS Regions,Region 1,2019,10,143,51,51,4,1,5,0,0,0
HHS Regions,Region 9,2019,10,777,196,271,25,44,11,3,0,0
